Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min)
1726275545.902243,-0.99,-0.001,-0.006,0.021,1726275519.1415212,0.0,0.0,1726275519.1415212,0.0,1726275519.1415212,0.0,0.0
1726275545.902243,-0.99,-0.001,-0.006,0.021,1726275519.1415212,0.0,0.0,1726275545.902243,0,1726275545.902243,9.8,0.0
1726275547.3135722,-0.99,-0.001,-0.006,0.021,1726275546.6879036,0.0,-3.6,1726275546.6094816,0,1726275546.6094816,8.0,-0.004
1726275548.0331037,-0.99,-0.001,-0.006,0.021,1726275547.3917298,0.0,-3.5,1726275547.3135722,0,1726275547.3135722,9.4,0.0
1726275548.7227116,-0.99,-0.001,-0.006,0.021,1726275548.0956595,0.0,-3.6,1726275548.0175114,0,1726275548.0175114,8.6,-0.002
1726275549.4090693,-0.99,-0.001,-0.006,0.021,1726275548.785289,0.0,-3.6,1726275548.7227116,0,1726275548.7227116,9.0,-0.004
1726275550.2392082,-0.99,-0.001,-0.006,0.021,1726275549.4874644,0.0,-3.6,1726275549.4090693,0,1726275549.4090693,8.6,-0.002
1726275550.9634662,-0.99,-0.001,-0.006,0.021,1726275550.3329413,0.0,-3.6,1726275550.2392082,0,1726275550.2392082,8.8,0.0
1726275551.665919,-0.99,-0.001,-0.006,0.021,1726275551.0417244,0.0,-3.6,1726275550.9634662,0,1726275550.9634662,8.6,-0.002
1726275552.433411,-0.99,-0.001,-0.006,0.021,1726275551.7441134,0.0,-3.7,1726275551.665919,0,1726275551.665919,9.2,-0.002
1726275553.2174685,-0.99,-0.001,-0.006,0.021,1726275552.4959095,0.0,-3.7,1726275552.433411,0,1726275552.433411,8.6,-0.002
1726275553.9384258,-0.99,-0.001,-0.006,0.021,1726275553.2957451,0.0,-3.7,1726275553.2174685,0,1726275553.2174685,8.8,-0.002
1726275554.6412172,-0.99,-0.001,-0.006,0.021,1726275554.0012138,0.0,-3.7,1726275553.9384258,0,1726275553.9384258,8.4,0.0
1726275555.4081535,-0.99,-0.001,-0.006,0.021,1726275554.7196023,0.0,-3.7,1726275554.6412172,0,1726275554.6412172,8.4,-0.002
1726275556.1285548,-0.99,-0.001,-0.006,0.021,1726275555.4709554,0.0,-3.7,1726275555.3925602,0,1726275555.4081535,8.2,0.0
1726275556.8483827,-0.99,-0.001,-0.006,0.021,1726275556.191332,0.0,-3.8,1726275556.1285548,0,1726275556.1285548,8.2,-0.002
1726275557.5879102,-0.99,-0.001,-0.006,0.021,1726275556.942086,0.0,-3.8,1726275556.8483827,0,1726275556.8483827,8.2,-0.002
