Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint,Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C)
1726512159.4642394,-0.99,-0.001,-0.006,0.021,1726512159.4633102,1.01,-2.3,1726512159.4584424,0,1726512159.4622355,-0.8,-0.008,1726512159.466233,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512161.4695897,-0.99,-0.001,-0.006,0.021,1726512161.4684563,1.01,-2.3,1726512161.466741,0,1726512161.4673939,-0.8,-0.008,1726512161.4695897,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512163.7833765,-0.99,-0.001,-0.006,0.021,1726512163.7823663,1.01,-2.3,1726512163.7780976,0,1726512163.7813623,-0.8,-0.008,1726512163.7843626,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512166.1182432,-0.99,-0.001,-0.006,0.021,1726512166.1175056,1.01,-2.3,1726512166.1137917,0,1726512166.1160715,-0.8,-0.008,1726512166.1182432,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512168.2182968,-0.99,-0.001,-0.006,0.021,1726512168.2172294,1.01,-2.3,1726512168.2156699,0,1726512168.2172294,-0.8,-0.008,1726512168.2182968,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512170.2867455,-0.99,-0.001,-0.006,0.021,1726512170.2867455,1.01,-2.3,1726512170.2843783,0,1726512170.2854989,-0.8,-0.008,1726512170.287893,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512172.227246,-0.99,-0.001,-0.006,0.021,1726512172.2262511,1.01,-2.3,1726512172.222081,0,1726512172.2242203,-0.8,-0.008,1726512172.228899,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512174.4174438,-0.99,-0.001,-0.006,0.021,1726512174.4174438,1.01,-2.3,1726512174.4151866,0,1726512174.4164453,-0.8,-0.008,1726512174.418448,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512400.6845663,-0.99,-0.001,-0.006,0.021,1726512400.683549,1.01,-2.3,1726512400.6805716,0,1726512400.6823711,-0.8,-0.008,1726512400.6865554,75.0,99.90095274426588,999.013671875,0.0,25.0
1726512402.0727942,-0.99,-0.001,-0.006,0.021,1726512402.0717952,1.01,-2.3,1726512402.0687563,0,1726512402.0707433,-0.8,-0.008,1726512402.073796,75.0,99.90095274426588,999.013671875,0.0,25.0
