Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint,Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C)
1726795899.6211207,-0.99,-0.001,-0.006,0.021,1726795899.6201258,1.01,-2.3,1726795899.6187084,0,1726795899.6201258,-0.8,-0.008,1726795899.6211207,75.0,99.90095274426588,999.013671875,25.0
1726795900.6343699,-0.99,-0.001,-0.006,0.021,1726795900.6337779,1.01,-2.3,1726795900.6278,0,1726795900.6322901,-0.8,-0.008,1726795900.6350517,75.0,99.90095274426588,999.013671875,25.0
1726795901.6213334,-0.99,-0.001,-0.006,0.021,1726795901.6213334,1.01,-2.3,1726795901.6201193,0,1726795901.6213334,-0.8,-0.008,1726795901.6223302,75.0,99.90095274426588,999.013671875,25.0
1726795902.650158,-0.99,-0.001,-0.006,0.021,1726795902.6496582,1.01,-2.3,1726795902.6451354,0,1726795902.6482706,-0.8,-0.008,1726795902.650919,75.0,99.90095274426588,999.013671875,25.0
1726795903.6426404,-0.99,-0.001,-0.006,0.021,1726795903.6417694,1.01,-2.3,1726795903.6404896,0,1726795903.6417694,-0.8,-0.008,1726795903.6431394,75.0,99.90095274426588,999.013671875,25.0
1726795904.666608,-0.99,-0.001,-0.006,0.021,1726795904.663611,1.01,-2.3,1726795904.6616802,0,1726795904.662147,-0.8,-0.008,1726795904.6682541,75.0,99.90095274426588,999.013671875,25.0
1726795905.6869278,-0.99,-0.001,-0.006,0.021,1726795905.6869278,1.01,-2.3,1726795905.6844141,0,1726795905.6864223,-0.8,-0.008,1726795905.6879437,75.0,99.90095274426588,999.013671875,25.0
1726795906.711602,-0.99,-0.001,-0.006,0.021,1726795906.711602,1.01,-2.3,1726795906.708587,0,1726795906.710607,-0.8,-0.008,1726795906.71285,75.0,99.90095274426588,999.013671875,25.0
1726795907.3537753,-0.99,-0.001,-0.006,0.021,1726795907.3528843,1.01,-2.3,1726795907.3461056,0,1726795907.3516178,-0.8,-0.008,1726795907.3545814,75.0,99.90095274426588,999.013671875,25.0
1726795908.7192717,-0.99,-0.001,-0.006,0.021,1726795908.7187197,1.01,-2.3,1726795908.7131746,0,1726795908.7177384,-0.8,-0.008,1726795908.7198904,75.0,99.90095274426588,999.013671875,25.0
