Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1727727854.482124,-0.99,-0.001,-0.006,0.021,1727727854.482124,1.01,-2.3,1727727854.4811246,0,1727727854.4811246,-0.8000000000000003,-0.008000000000000004,1727727854.482124,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727855.4592083,-0.99,-0.001,-0.006,0.021,1727727855.4592083,1.01,-2.3,1727727855.4582114,0,1727727855.4592083,-0.8000000000000003,-0.008000000000000004,1727727855.4592083,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727856.4548323,-0.99,-0.001,-0.006,0.021,1727727856.4548323,1.01,-2.3,1727727856.4527907,0,1727727856.453831,-0.8000000000000003,-0.008000000000000004,1727727856.4548323,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727857.479737,-0.99,-0.001,-0.006,0.021,1727727857.4796417,1.01,-2.3,1727727857.4778512,0,1727727857.4789553,-0.8000000000000003,-0.008000000000000004,1727727857.479737,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727858.4784105,-0.99,-0.001,-0.006,0.021,1727727858.4784105,1.01,-2.3,1727727858.4763584,0,1727727858.4784105,-0.8000000000000003,-0.008000000000000004,1727727858.4794135,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727859.4848738,-0.99,-0.001,-0.006,0.021,1727727859.4848738,1.01,-2.3,1727727859.4828813,0,1727727859.4838731,-0.8000000000000003,-0.008000000000000004,1727727859.4848738,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727860.5060165,-0.99,-0.001,-0.006,0.021,1727727860.5060165,1.01,-2.3,1727727860.4901032,0,1727727860.505012,-0.8000000000000003,-0.008000000000000004,1727727860.5060165,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727861.5295212,-0.99,-0.001,-0.006,0.021,1727727861.5295212,1.01,-2.3,1727727861.527518,0,1727727861.52852,-0.8000000000000003,-0.008000000000000004,1727727861.5295212,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727862.520603,-0.99,-0.001,-0.006,0.021,1727727862.520603,1.01,-2.3,1727727862.518602,0,1727727862.520603,-0.8000000000000003,-0.008000000000000004,1727727862.520603,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727863.5282989,-0.99,-0.001,-0.006,0.021,1727727863.527719,1.01,-2.3,1727727863.5267172,0,1727727863.5267172,-0.8000000000000003,-0.008000000000000004,1727727863.5282989,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727864.5347428,-0.99,-0.001,-0.006,0.021,1727727864.5347428,1.01,-2.3,1727727864.5327423,0,1727727864.5337422,-0.8000000000000003,-0.008000000000000004,1727727864.5347428,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727865.6369116,-0.99,-0.001,-0.006,0.021,1727727865.6369116,1.01,-2.3,1727727865.633876,0,1727727865.6358747,-0.8000000000000003,-0.008000000000000004,1727727865.6369116,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727866.5336595,-0.99,-0.001,-0.006,0.021,1727727866.5336595,1.01,-2.3,1727727866.5316536,0,1727727866.5326543,-0.8000000000000003,-0.008000000000000004,1727727866.5336595,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727867.5475821,-0.99,-0.001,-0.006,0.021,1727727867.5475821,1.01,-2.3,1727727867.5455759,0,1727727867.546581,-0.8000000000000003,-0.008000000000000004,1727727867.5475821,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727868.5506442,-0.99,-0.001,-0.006,0.021,1727727868.5506442,1.01,-2.3,1727727868.548684,0,1727727868.5496361,-0.8000000000000003,-0.008000000000000004,1727727868.5506442,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727869.5467956,-0.99,-0.001,-0.006,0.021,1727727869.5467956,1.01,-2.3,1727727869.5438015,0,1727727869.5467956,-0.8000000000000003,-0.008000000000000004,1727727869.5467956,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727870.5720537,-0.99,-0.001,-0.006,0.021,1727727870.5720537,1.01,-2.3,1727727870.571054,0,1727727870.571054,-0.8000000000000003,-0.008000000000000004,1727727870.5720537,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
1727727871.6624634,-0.99,-0.001,-0.006,0.021,1727727871.6624634,1.01,-2.3,1727727871.660478,0,1727727871.6624634,-0.8000000000000003,-0.008000000000000004,1727727871.6624634,3000.0,100.00095369796384,999.013671875,25.0,1727727836.6965206,nan
