Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C)
1740107910.9824498,-0.99,-0.001,-0.006,0.021,1740107910.9823754,1.01,-2.3,1740107906.2787607,nan,1740107910.9816194,-0.8000000000000003,-0.008000000000000004,1740107910.982516,3000.0,100.00095369796384,999.013671875,25.0
1740107911.9788606,-0.99,-0.001,-0.006,0.021,1740107911.9788256,1.01,-2.3,1740107906.2787607,nan,1740107911.9786553,-0.8000000000000003,-0.008000000000000004,1740107911.9788709,3000.0,100.00095369796384,999.013671875,25.0
1740107912.976495,-0.99,-0.001,-0.006,0.021,1740107912.976477,1.01,-2.3,1740107906.2787607,nan,1740107912.9759572,-0.8000000000000003,-0.008000000000000004,1740107912.976507,3000.0,100.00095369796384,999.013671875,25.0
1740107913.9807668,-0.99,-0.001,-0.006,0.021,1740107913.9807482,1.01,-2.3,1740107906.2787607,nan,1740107913.9799712,-0.8000000000000003,-0.008000000000000004,1740107913.9807792,3000.0,100.00095369796384,999.013671875,25.0
1740107916.0131185,-0.99,-0.001,-0.006,0.021,1740107916.0130832,1.01,-2.3,1740107906.2787607,nan,1740107916.0127778,-0.8000000000000003,-0.008000000000000004,1740107916.01314,3000.0,100.00095369796384,999.013671875,25.0
1740107916.9766061,-0.99,-0.001,-0.006,0.021,1740107916.976555,1.01,-2.3,1740107906.2787607,nan,1740107916.9763973,-0.8000000000000003,-0.008000000000000004,1740107916.9766183,3000.0,100.00095369796384,999.013671875,25.0
1740107916.9766061,-0.99,-0.001,-0.006,0.021,1740107916.976555,1.01,-2.3,1740107906.2787607,nan,1740107916.9763973,-0.8000000000000003,-0.008000000000000004,1740107916.9766183,3000.0,100.00095369796384,999.013671875,25.0
1740107956.996444,-0.99,-0.001,-0.006,0.021,1740107956.9964268,1.01,-2.3,1740107952.5583851,nan,1740107956.9961643,-0.8000000000000003,-0.008000000000000004,1740107956.9964602,3000.0,100.00095369796384,999.013671875,25.0
1740107957.9773843,-0.99,-0.001,-0.006,0.021,1740107957.9773679,1.01,-2.3,1740107952.5583851,nan,1740107957.9769564,-0.8000000000000003,-0.008000000000000004,1740107957.9773958,3000.0,100.00095369796384,999.013671875,25.0
1740107957.9773843,-0.99,-0.001,-0.006,0.021,1740107957.9773679,1.01,-2.3,1740107952.5583851,nan,1740107957.9769564,-0.8000000000000003,-0.008000000000000004,1740107957.9773958,3000.0,100.00095369796384,999.013671875,25.0
1740107958.98152,-0.99,-0.001,-0.006,0.021,1740107958.9814625,1.01,-2.3,1740107952.5583851,nan,1740107958.981366,-0.8000000000000003,-0.008000000000000004,1740107958.9815454,3000.0,100.00095369796384,999.013671875,25.0
1740107959.9827566,-0.99,-0.001,-0.006,0.021,1740107959.9827218,1.01,-2.3,1740107952.5583851,nan,1740107959.9821541,-0.8000000000000003,-0.008000000000000004,1740107959.9827685,3000.0,100.00095369796384,999.013671875,25.0
1740107960.9823925,-0.99,-0.001,-0.006,0.021,1740107960.9823754,1.01,-2.3,1740107952.5583851,nan,1740107960.982166,-0.8000000000000003,-0.008000000000000004,1740107960.982404,3000.0,100.00095369796384,999.013671875,25.0
1740107961.9818163,-0.99,-0.001,-0.006,0.021,1740107961.9817986,1.01,-2.3,1740107952.5583851,nan,1740107961.9815965,-0.8000000000000003,-0.008000000000000004,1740107961.9818275,3000.0,100.00095369796384,999.013671875,25.0
1740107963.982261,-0.99,-0.001,-0.006,0.021,1740107963.9822268,1.01,-2.3,1740107952.5583851,nan,1740107963.9819748,-0.8000000000000003,-0.008000000000000004,1740107963.9822721,3000.0,100.00095369796384,999.013671875,25.0
1740108027.9749312,-0.99,-0.001,-0.006,0.021,1740108027.9749155,1.01,-2.3,1740108025.2119007,nan,1740108027.9747884,-0.8000000000000003,-0.008000000000000004,1740108027.974941,3000.0,100.00095369796384,999.013671875,25.0
1740108029.0039783,-0.99,-0.001,-0.006,0.021,1740108029.0039587,1.01,-2.3,1740108025.2119007,nan,1740108029.0038195,-0.8000000000000003,-0.008000000000000004,1740108029.00399,3000.0,100.00095369796384,999.013671875,25.0
1740108029.9713106,-0.99,-0.001,-0.006,0.021,1740108029.9712915,1.01,-2.3,1740108025.2119007,nan,1740108029.9712126,-0.8000000000000003,-0.008000000000000004,1740108029.9713225,3000.0,100.00095369796384,999.013671875,25.0
1740108030.9762235,-0.99,-0.001,-0.006,0.021,1740108030.9762044,1.01,-2.3,1740108025.2119007,nan,1740108030.975785,-0.8000000000000003,-0.008000000000000004,1740108030.9762359,3000.0,100.00095369796384,999.013671875,25.0
1740108032.9764338,-0.99,-0.001,-0.006,0.021,1740108032.9763968,1.01,-2.3,1740108025.2119007,nan,1740108032.9761353,-0.8000000000000003,-0.008000000000000004,1740108032.9764457,3000.0,100.00095369796384,999.013671875,25.0
