Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1742864085.6002867,nan,nan,nan,nan,nan,nan,1742864085.6002867,nan,nan,nan,nan,nan,nan,1742864085.6002867,nan,nan,1742864085.6002867,nan,1742864085.6002867,nan,nan,1742864210.7741578,nan,nan,nan,nan,1742864085.6002867,nan
1742864085.6002867,nan,nan,nan,nan,nan,nan,1742864085.6002867,nan,nan,nan,nan,nan,nan,1742864085.6002867,nan,nan,1742864085.6002867,nan,1742864085.6002867,nan,nan,1742864210.7741578,nan,nan,nan,nan,1742864085.6002867,nan
1742864210.8221922,39.999,24559.219,0.27,157.476,0.758,0.015,1742864210.9473958,49.998,25754.348,36213.682,-40.68,-404.108,5.0,1742864210.8501844,nan,0.1,1742864210.7711666,0,1742864210.984575,41.946666666666665,0.0088,1742864211.76061,nan,nan,nan,nan,1742864085.6002867,nan
1742864212.9794266,39.987,24546.451,0.264,160.318,0.759,0.006,1742864212.8170211,49.997,25752.148,36252.288,-41.292,-404.215,5.0,1742864212.8343158,nan,0.1,1742864212.7531252,375,1742864212.96746,39.53333333333333,-0.005199999999999999,1742864213.7831414,nan,nan,nan,nan,1742864085.6002867,nan
1742864213.880106,39.973,24535.951,0.313,160.318,0.759,0.005,1742864213.8412945,50.0,25753.817,36246.909,-41.208,-405.021,5.0,1742864213.8612478,nan,0.1,1742864213.7701755,381,1742864213.9928803,40.480000000000004,0.03586666666666668,1742864214.7710714,nan,nan,nan,nan,1742864085.6002867,nan
1742864214.9771702,39.973,24535.951,0.313,160.318,0.759,0.005,1742864214.8330948,50.002,25755.655,36239.546,-41.011,-405.246,5.0,1742864214.8510327,nan,0.1,1742864214.7690942,381,1742864214.9830115,38.72,-0.008533333333333334,1742864215.780872,nan,nan,nan,nan,1742864085.6002867,nan
1742864214.9771702,39.973,24535.951,0.313,160.318,0.759,0.005,1742864214.8330948,50.002,25755.655,36239.546,-41.011,-405.246,5.0,1742864214.8510327,nan,0.1,1742864214.7690942,381,1742864214.9830115,38.72,-0.008533333333333334,1742864215.780872,nan,nan,nan,nan,1742864085.6002867,nan
1742864216.8493664,40.008,24541.523,0.28,159.32,0.759,0.006,1742864216.8473473,50.004,25758.824,36230.609,-41.128,-404.465,5.0,1742864216.8523338,nan,0.1,1742864216.7781878,381,1742864216.9959707,47.46666666666667,-0.005599999999999999,1742864217.7815924,nan,nan,nan,nan,1742864085.6002867,nan
1742864217.8752348,39.995,24535.068,0.31,159.74,0.759,0.006,1742864217.8494132,50.001,25757.592,36227.195,-41.035,-405.255,5.0,1742864217.863376,nan,0.1,1742864217.7795644,381,1742864218.003917,44.466666666666676,-0.0061333333333333335,1742864218.78013,nan,nan,nan,nan,1742864085.6002867,nan
1742864218.9071493,40.002,24529.375,0.31,159.74,0.759,0.015,1742864218.8468363,50.003,25760.065,36221.852,-41.013,-405.379,5.0,1742864218.8518505,nan,0.1,1742864218.777136,381,1742864218.9941747,47.64,0.009600000000000001,1742864219.7774863,nan,nan,nan,nan,1742864085.6002867,nan
1742864219.8583577,40.002,24529.375,0.31,159.74,0.759,0.015,1742864219.8324316,50.003,25761.101,36219.046,-41.018,-405.146,5.0,1742864219.8583577,nan,0.1,1742864219.7757719,386,1742864220.0024087,46.36000000000001,-0.015200000000000003,1742864220.7815413,nan,nan,nan,nan,1742864085.6002867,nan
1742864219.8583577,40.002,24529.375,0.31,159.74,0.759,0.015,1742864219.8324316,50.003,25761.101,36219.046,-41.018,-405.146,5.0,1742864219.8583577,nan,0.1,1742864219.7757719,386,1742864220.0024087,46.36000000000001,-0.015200000000000003,1742864220.7815413,nan,nan,nan,nan,1742864085.6002867,nan
1742864221.8358438,40.005,24527.605,0.288,160.475,0.758,0.014,1742864221.8438225,50.005,25766.246,36212.913,-41.332,-405.743,5.0,1742864221.857785,nan,0.0,1742864221.775035,391,1742864222.0001326,43.58666666666666,0.00040000000000000034,1742864222.783124,nan,nan,nan,nan,1742864085.6002867,nan
1742864222.8394613,39.99,24522.207,0.298,160.475,0.758,0.01,1742864222.849435,50.001,25766.198,36190.228,-40.877,-405.091,5.0,1742864222.8514304,nan,0.0,1742864222.7801273,392,1742864223.0071652,43.33333333333333,-0.0052,1742864223.8039331,nan,nan,nan,nan,1742864085.6002867,nan
1742864223.8756871,39.99,24522.207,0.298,160.475,0.758,0.01,1742864223.8696742,50.001,25766.198,36190.228,-40.877,-405.091,5.0,1742864223.8756871,nan,0.0,1742864223.801931,399,1742864224.0147607,41.88,0.010800000000000002,1742864224.7991014,nan,nan,nan,nan,1742864085.6002867,nan
1742864223.8756871,39.99,24522.207,0.298,160.475,0.758,0.01,1742864223.8696742,50.001,25766.198,36190.228,-40.877,-405.091,5.0,1742864223.8756871,nan,0.0,1742864223.801931,399,1742864224.0147607,41.88,0.010800000000000002,1742864224.7991014,nan,nan,nan,nan,1742864085.6002867,nan
1742864224.8669198,40.03,24546.528,0.298,158.098,0.758,0.01,1742864224.8639276,50.0,25766.058,36197.573,-41.268,-404.639,5.0,1742864224.8669198,nan,0.0,1742864224.7961304,399,1742864225.0217183,45.09333333333334,-0.009333333333333334,1742864225.7800992,nan,nan,nan,nan,1742864085.6002867,nan
1742864226.8366683,40.009,24535.38,0.278,158.635,0.76,0.012,1742864226.8446758,50.001,25765.743,36204.68,-40.773,-404.889,5.0,1742864226.8516603,nan,0.0,1742864226.7748637,402,1742864226.9863255,42.65333333333333,0.006933333333333334,1742864227.783903,nan,nan,nan,nan,1742864085.6002867,nan
1742864227.841256,39.991,24528.65,0.264,158.635,0.76,0.01,1742864227.8512294,50.003,25767.019,36201.416,-40.699,-405.545,5.0,1742864227.8582103,nan,0.0,1742864227.7809415,402,1742864227.9938006,35.040000000000006,-0.005866666666666668,1742864228.765037,nan,nan,nan,nan,1742864085.6002867,nan
1742864227.841256,39.991,24528.65,0.264,158.635,0.76,0.01,1742864227.8512294,50.003,25767.019,36201.416,-40.699,-405.545,5.0,1742864227.8582103,nan,0.0,1742864227.7809415,402,1742864227.9938006,35.040000000000006,-0.005866666666666668,1742864228.765037,nan,nan,nan,nan,1742864085.6002867,nan
