Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts/Bin,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1743649429.0314977,nan,nan,nan,nan,nan,nan,1743649429.0314977,nan,nan,nan,nan,nan,nan,1743649429.0314977,nan,nan,1743649429.0314977,nan,nan,nan,1743649429.0314977,nan,nan,1743649446.2317643,nan,nan,nan,nan,1743649429.0314977,nan
1743649429.0314977,nan,nan,nan,nan,nan,nan,1743649429.0314977,nan,nan,nan,nan,nan,nan,1743649429.0314977,nan,nan,1743649429.0314977,nan,nan,nan,1743649429.0314977,nan,nan,1743649446.2317643,nan,nan,nan,nan,1743649429.0314977,nan
1743649446.2858095,40.032,23201.775,0.047,-0.523,0.001,0.004,1743649446.2887907,50.0,25725.66,36240.927,-29.593,-294.352,3.0,1743649446.3048522,nan,-3.0,1743649446.2267704,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743649446.440064,nan,-0.017599999999999998,1743649447.233505,nan,nan,nan,nan,1743649429.0314977,nan
1743649447.3288147,40.032,23201.775,0.047,-0.523,0.001,0.004,1743649447.295903,50.0,25725.932,36224.23,-28.877,-293.871,3.0,1743649447.314853,nan,-3.1,1743649447.2310667,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743649447.4474638,1.64,-0.0021333333333333334,1743649448.238456,nan,nan,nan,nan,1743649429.0314977,nan
1743649449.292192,39.988,23192.412,-0.015,-0.387,0.001,0.003,1743649449.292192,49.994,25719.197,36195.645,-29.523,-294.485,3.0,1743649449.30416,nan,-3.2,1743649449.2238314,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743649449.4447842,3.1600000000000006,-0.019866666666666664,1743649450.2367291,nan,nan,nan,nan,1743649429.0314977,nan
1743649449.292192,39.988,23192.412,-0.015,-0.387,0.001,0.003,1743649449.292192,49.994,25719.197,36195.645,-29.523,-294.485,3.0,1743649449.30416,nan,-3.2,1743649449.2238314,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743649449.4447842,3.1600000000000006,-0.019866666666666664,1743649450.2367291,nan,nan,nan,nan,1743649429.0314977,nan
1743649450.295312,39.987,23191.535,0.017,-0.374,0.0,0.003,1743649450.2982988,49.994,25719.197,36195.645,-29.523,-294.485,3.0,1743649450.3089168,nan,-3.3,1743649450.2314603,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743649450.4525714,2.706666666666666,-0.0030666666666666668,1743649451.2359602,nan,nan,nan,nan,1743649429.0314977,nan
1743649451.3018844,39.987,23191.535,0.017,-0.374,0.0,0.003,1743649451.2998896,49.995,25717.262,36188.455,-29.518,-294.113,3.0,1743649451.3198366,nan,-3.3,1743649451.2329967,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743649451.4590027,1.6399999999999997,0.008266666666666669,1743649452.2290494,nan,nan,nan,nan,1743649429.0314977,nan
1743649453.2927215,40.007,23187.482,0.015,-0.442,0.0,0.007,1743649453.294716,49.999,25713.615,36143.536,-29.419,-293.928,3.0,1743649453.2997026,nan,-3.2,1743649453.2248793,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743649453.441363,2.5599999999999996,0.0033333333333333344,1743649454.232166,nan,nan,nan,nan,1743649429.0314977,nan
1743649453.2927215,40.007,23187.482,0.015,-0.442,0.0,0.007,1743649453.294716,49.999,25713.615,36143.536,-29.419,-293.928,3.0,1743649453.2997026,nan,-3.2,1743649453.2248793,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743649453.441363,2.5599999999999996,0.0033333333333333344,1743649454.232166,nan,nan,nan,nan,1743649429.0314977,nan
