Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts/Bin,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1743647794.0726585,nan,nan,nan,nan,nan,nan,1743647794.0726585,nan,nan,nan,nan,nan,nan,1743647794.0726585,nan,nan,1743647794.0726585,nan,nan,nan,1743647794.0726585,nan,nan,1743647835.1843314,nan,nan,nan,nan,1743647794.0726585,nan
1743647835.4468422,39.958,23189.436,-0.014,-0.383,0.0,0.003,1743647835.2412071,49.996,25706.202,36118.171,-29.439,-293.122,3.0,1743647835.2491853,nan,-3.0,1743647835.177319,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647835.398685,2.48,nan,1743647836.171413,nan,nan,nan,nan,1743647794.0726585,nan
1743647836.2796497,39.979,23171.271,-0.017,-0.383,0.0,0.01,1743647836.2322524,49.996,25706.202,36118.171,-29.439,-293.122,3.0,1743647836.2503827,nan,-3.0,1743647836.1693363,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647836.3920374,nan,nan,1743647837.1617434,nan,nan,nan,nan,1743647794.0726585,nan
1743647837.2219238,39.995,23176.004,-0.017,-0.27,0.001,0.01,1743647837.2219238,50.001,25709.276,36137.355,-29.746,-294.289,3.0,1743647837.2338912,nan,-2.9,1743647837.1447897,1,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647837.3686628,1.7466666666666668,nan,1743647838.166785,nan,nan,nan,nan,1743647794.0726585,nan
1743647838.2277746,39.999,23175.641,0.003,-0.27,0.001,0.003,1743647838.2277746,50.001,25709.971,36098.837,-29.058,-294.078,3.0,1743647838.2465928,nan,-2.8,1743647838.164791,1,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647838.3776507,3.4666666666666663,nan,1743647839.1728659,nan,nan,nan,nan,1743647794.0726585,nan
1743647873.9900126,nan,nan,nan,nan,nan,nan,1743647873.9900126,nan,nan,nan,nan,nan,nan,1743647873.9900126,nan,nan,1743647873.9900126,nan,nan,nan,1743647873.9900126,nan,nan,1743647889.091439,nan,nan,nan,nan,1743647873.9900126,nan
1743647889.1425836,40.021,23155.174,0.018,-0.314,0.001,0.004,1743647889.198213,49.998,25716.615,35999.143,-29.537,-293.456,3.0,1743647889.1700828,nan,-2.6,1743647889.084459,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647889.2971375,nan,0.001733333333333334,1743647890.0996017,nan,nan,nan,nan,1743647873.9900126,nan
1743647890.2030642,40.019,23160.891,0.029,-0.314,0.001,0.004,1743647890.1625662,49.998,25716.615,35999.143,-29.537,-293.456,3.0,1743647890.1785245,nan,-2.6,1743647890.0981073,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647890.3207154,nan,0.004,1743647891.0986502,nan,nan,nan,nan,1743647873.9900126,nan
1743647891.1574593,40.02,23181.025,-0.005,-0.407,0.001,0.004,1743647891.164469,49.999,25716.121,35959.931,-29.225,-293.325,3.0,1743647891.173446,nan,-2.6,1743647891.0965319,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647891.3120077,1.6399999999999997,-0.012000000000000004,1743647892.0915616,nan,nan,nan,nan,1743647873.9900126,nan
1743647892.1504698,40.041,23207.346,-0.005,-0.407,0.001,0.005,1743647892.1534615,50.0,25716.34,35955.667,-29.701,-293.754,3.0,1743647892.163435,nan,-2.7,1743647892.0885856,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647892.3027637,nan,-0.007333333333333332,1743647893.0893793,nan,nan,nan,nan,1743647873.9900126,nan
1743647893.2005184,40.043,23218.885,-0.005,-0.343,0.001,0.005,1743647893.145259,49.996,25713.352,35921.05,-29.517,-293.273,3.0,1743647893.1714191,nan,-2.7,1743647893.0868146,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647893.309762,2.7866666666666666,0.0045333333333333345,1743647894.0892992,nan,nan,nan,nan,1743647873.9900126,nan
1743647894.1511936,40.002,23217.922,0.011,-0.343,0.001,0.005,1743647894.1502054,49.998,25711.977,35922.534,-29.309,-293.935,3.0,1743647894.163675,nan,-2.8,1743647894.0863354,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647894.3011315,2.24,0.004000000000000002,1743647895.0958421,nan,nan,nan,nan,1743647873.9900126,nan
1743647895.2008715,40.019,23233.535,0.011,-0.365,0.001,0.005,1743647895.162677,49.998,25711.977,35922.534,-29.309,-293.935,3.0,1743647895.1716533,nan,-2.9,1743647895.0931602,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647895.3093855,2.333333333333334,-0.005333333333333334,1743647896.093279,nan,nan,nan,nan,1743647873.9900126,nan
1743647896.156128,40.019,23233.535,0.029,-0.365,0.001,0.005,1743647896.1521513,49.997,25709.501,35935.194,-29.265,-292.691,3.0,1743647896.1651177,nan,-3.0,1743647896.0909808,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647896.314952,2.4266666666666676,-0.013200000000000005,1743647897.090682,nan,nan,nan,nan,1743647873.9900126,nan
1743647897.1478405,39.998,23224.757,0.029,-0.372,0.001,0.007,1743647897.1564667,49.998,25708.04,35992.757,-29.11,-293.65,3.0,1743647897.1734498,nan,-3.0,1743647897.089073,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647897.305398,3.3600000000000003,0.0048000000000000004,1743647898.0947673,nan,nan,nan,nan,1743647873.9900126,nan
1743647898.1542106,39.998,23224.757,-0.006,-0.372,0.001,0.007,1743647898.1622195,49.996,25705.075,36004.459,-28.95,-293.094,3.0,1743647898.16518,nan,-3.1,1743647898.0928564,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647898.3135693,1.5599999999999996,0.003200000000000001,1743647899.0967557,nan,nan,nan,nan,1743647873.9900126,nan
1743647899.149123,39.987,23213.949,-0.006,-0.372,0.001,0.006,1743647899.1586049,49.996,25702.435,36052.762,-28.938,-293.137,3.0,1743647899.1735644,nan,-3.2,1743647899.0940287,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647899.3207653,nan,-0.016399999999999994,1743647900.092104,nan,nan,nan,nan,1743647873.9900126,nan
