Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts/Bin,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1744736020.027945,nan,nan,nan,nan,nan,nan,1744736020.027945,nan,nan,nan,nan,nan,nan,1744736020.027945,nan,nan,1744736020.027945,nan,nan,nan,1744736020.027945,nan,nan,1744736034.7736363,nan,nan,nan,nan,1744736020.027945,nan
1744736034.8442924,39.995,22001.9,0.064,148.568,0.382,0.009,1744736034.8402374,50.002,25571.294,35902.53,-34.429,-334.155,6.0,1744736034.9046423,156.36,-3.0,1744736034.7736363,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736034.9950936,5.240000000000001,0.003999999999999999,1744736035.7640672,nan,nan,nan,nan,1744736020.027945,nan
1744736035.8163114,39.999,22000.156,0.042,152.362,0.382,0.009,1744736035.8243592,50.002,25571.294,35902.53,-34.429,-334.155,6.0,1744736035.8710604,156.38,-2.9,1744736035.7640672,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736035.9823296,5.36,0.0054666666666666665,1744736036.7773488,nan,nan,nan,nan,1744736020.027945,nan
1744736036.8676684,40.0,22005.635,0.042,152.362,0.382,0.01,1744736036.8376234,50.002,25571.583,35907.155,-34.096,-334.028,6.0,1744736036.90497,156.6,-2.7,1744736036.7773488,427,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[395, 19, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736036.988409,6.613333333333333,0.0008,1744736037.8118875,nan,nan,nan,nan,1744736020.027945,nan
1744736037.8660016,40.022,22022.811,0.042,154.073,0.381,0.01,1744736037.8825245,50.0,25571.74,35919.024,-34.477,-334.711,6.0,1744736037.9301264,156.52,-2.7,1744736037.8118875,472,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[438, 20, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736038.0338192,6.319999999999998,0.004,1744736038.8133428,nan,nan,nan,nan,1744736020.027945,nan
1744736038.8710992,40.052,22057.705,0.047,154.073,0.381,0.007,1744736038.8710992,50.004,25574.861,35930.722,-34.617,-334.545,6.0,1744736038.9349842,156.44,-2.6,1744736038.8133428,517,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[478, 23, 11, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736039.038162,6.2799999999999985,0.004266666666666667,1744736039.8056126,nan,nan,nan,nan,1744736020.027945,nan
1744736039.862846,40.052,22057.705,0.047,157.218,0.382,0.007,1744736039.871855,50.0,25573.715,35929.768,-34.414,-334.428,6.0,1744736039.923349,156.13,-2.6,1744736039.8056126,558,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[516, 24, 13, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736040.0277426,7.319999999999999,0.004400000000000001,1744736040.8183131,nan,nan,nan,nan,1744736020.027945,nan
1744736041.1570709,40.001,22063.361,0.014,157.218,0.382,0.008,1744736040.8770235,50.001,25574.26,35931.312,-34.385,-335.201,6.0,1744736040.9274256,156.37,-2.5,1744736040.8183131,626,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[562, 25, 14, 6, 0, 0, 0, 1, 1, 1, 1, 1, 4, 3, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736041.0345387,6.400000000000001,-0.0006666666666666668,1744736041.8234258,nan,nan,nan,nan,1744736020.027945,nan
1744736041.9652486,40.006,22066.493,0.014,155.425,0.382,0.008,1744736041.8817406,49.998,25572.556,35920.831,-34.604,-334.499,6.0,1744736041.9349477,156.56,-2.5,1744736041.8234258,732,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[609, 28, 15, 6, 0, 0, 1, 2, 3, 3, 5, 5, 6, 11, 14, 8, 6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736042.0420558,6.373333333333335,0.0048000000000000004,1744736042.8286324,nan,nan,nan,nan,1744736020.027945,nan
1744736042.9291854,39.977,22041.219,0.067,155.425,0.382,0.01,1744736042.8834856,50.001,25573.381,35922.428,-34.572,-334.922,6.0,1744736042.9498432,156.64,-2.6,1744736042.8286324,839,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[643, 29, 15, 6, 0, 3, 2, 2, 4, 6, 9, 10, 7, 16, 21, 19, 23, 17, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736043.049696,6.546666666666667,0.004133333333333333,1744736043.827801,nan,nan,nan,nan,1744736020.027945,nan
