Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Laser Distance Sensor: Melt Rate (cm/s),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts/Bin,Abakus Particle Counter: Incremental Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1749519177.1008487,nan,nan,nan,nan,nan,nan,1749519177.1008487,nan,nan,nan,nan,nan,nan,1749519177.1008487,nan,nan,nan,1749519177.1008487,nan,nan,nan,nan,1749519177.1008487,nan,nan,1749519233.3207116,3000.0,100.00095369796384,999.013671875,25.0,1749519177.1008487,nan
1749519234.80967,nan,nan,nan,nan,nan,nan,1749519234.80967,nan,nan,nan,nan,nan,nan,1749519234.3737392,nan,-3.0,nan,1749519234.2954443,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519234.51092,8.493333333333334,-0.016666666666666673,1749519235.2944088,3000.0,100.00095369796384,999.013671875,25.0,1749519177.1008487,nan
1749519235.8366616,nan,nan,nan,nan,nan,nan,1749519235.8366616,nan,nan,nan,nan,nan,nan,1749519235.3648646,nan,-2.9,nan,1749519235.2924013,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519235.5177624,8.58666666666667,-0.01626666666666667,1749519236.3106363,3000.0,100.00095369796384,999.013671875,25.0,1749519177.1008487,nan
1749519235.8366616,nan,nan,nan,nan,nan,nan,1749519235.8366616,nan,nan,nan,nan,nan,nan,1749519235.3648646,nan,-2.9,nan,1749519235.2924013,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519235.5177624,8.58666666666667,-0.01626666666666667,1749519236.3106363,3000.0,100.00095369796384,999.013671875,25.0,1749519177.1008487,nan
1749519236.8227313,nan,nan,nan,nan,nan,nan,1749519236.8227313,nan,nan,nan,nan,nan,nan,1749519236.392975,nan,-2.8,nan,1749519236.3086402,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519236.5261211,8.440000000000001,-0.016800000000000006,1749519237.3118603,3000.0,100.00095369796384,999.013671875,25.0,1749519177.1008487,nan
1749519262.9586105,nan,nan,nan,nan,nan,nan,1749519262.9586105,nan,nan,nan,nan,nan,nan,1749519262.9586105,nan,nan,nan,1749519262.9586105,nan,nan,nan,nan,1749519262.9586105,nan,nan,1749519302.1465623,nan,nan,nan,nan,1749519262.9586105,nan
1749519302.6516147,nan,nan,nan,nan,nan,nan,1749519302.6516147,nan,nan,nan,nan,nan,nan,1749519302.2204409,nan,-3.1,nan,1749519302.1435707,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519302.357832,8.640000000000002,-0.016799999999999995,1749519303.1542003,nan,nan,nan,nan,1749519262.9586105,nan
1749519302.6516147,nan,nan,nan,nan,nan,nan,1749519302.6516147,nan,nan,nan,nan,nan,nan,1749519302.2204409,nan,-3.1,nan,1749519302.1435707,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519302.357832,8.640000000000002,-0.016799999999999995,1749519303.1542003,nan,nan,nan,nan,1749519262.9586105,nan
1749519304.6551218,nan,nan,nan,nan,nan,nan,1749519304.6551218,nan,nan,nan,nan,nan,nan,1749519304.223998,nan,-3.1,nan,1749519304.136896,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519304.3555655,9.56,-0.016000000000000007,1749519305.1574621,nan,nan,nan,nan,1749519262.9586105,nan
1749519304.6551218,nan,nan,nan,nan,nan,nan,1749519304.6551218,nan,nan,nan,nan,nan,nan,1749519304.223998,nan,-3.1,nan,1749519304.136896,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519304.3555655,9.56,-0.016000000000000007,1749519305.1574621,nan,nan,nan,nan,1749519262.9586105,nan
1749519306.6610668,nan,nan,nan,nan,nan,nan,1749519306.6610668,nan,nan,nan,nan,nan,nan,1749519306.222124,nan,-3.1,nan,1749519306.1494377,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519306.3694136,9.346666666666668,-0.016000000000000007,1749519307.148989,nan,nan,nan,nan,1749519262.9586105,nan
1749519306.6610668,nan,nan,nan,nan,nan,nan,1749519306.6610668,nan,nan,nan,nan,nan,nan,1749519306.222124,nan,-3.1,nan,1749519306.1494377,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519306.3694136,9.346666666666668,-0.016000000000000007,1749519307.148989,nan,nan,nan,nan,1749519262.9586105,nan
