Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C)
1739856573.4752173,-0.99,-0.001,-0.006,0.021,1739856573.4752047,1.01,-2.3,1739856573.4749157,0,1739856573.47509,-0.8000000000000003,-0.008000000000000004,1739856573.4752295,3000.0,100.00095369796384,999.013671875,25.0
1739856575.534114,-0.99,-0.001,-0.006,0.021,1739856575.5340953,1.01,-2.3,1739856575.5330017,0,1739856575.5336678,-0.8000000000000003,-0.008000000000000004,1739856575.534125,3000.0,100.00095369796384,999.013671875,25.0
1739856575.534114,-0.99,-0.001,-0.006,0.021,1739856575.5340953,1.01,-2.3,1739856575.5330017,0,1739856575.5336678,-0.8000000000000003,-0.008000000000000004,1739856575.534125,3000.0,100.00095369796384,999.013671875,25.0
1739856576.5390017,-0.99,-0.001,-0.006,0.021,1739856576.5389822,1.01,-2.3,1739856576.5385206,0,1739856576.5387616,-0.8000000000000003,-0.008000000000000004,1739856576.5390139,3000.0,100.00095369796384,999.013671875,25.0
1739856578.5386217,-0.99,-0.001,-0.006,0.021,1739856578.5386026,1.01,-2.3,1739856578.5376134,0,1739856578.5380027,-0.8000000000000003,-0.008000000000000004,1739856578.5386338,3000.0,100.00095369796384,999.013671875,25.0
1739856579.5388966,-0.99,-0.001,-0.006,0.021,1739856579.5388582,1.01,-2.3,1739856579.5385187,0,1739856579.5387342,-0.8000000000000003,-0.008000000000000004,1739856579.5389073,3000.0,100.00095369796384,999.013671875,25.0
1739856580.5357177,-0.99,-0.001,-0.006,0.021,1739856580.5357013,1.01,-2.3,1739856580.5353668,0,1739856580.5355036,-0.8000000000000003,-0.008000000000000004,1739856580.5357294,3000.0,100.00095369796384,999.013671875,25.0
1739856581.5373657,-0.99,-0.001,-0.006,0.021,1739856581.5373461,1.01,-2.3,1739856581.5358646,0,1739856581.5367482,-0.8000000000000003,-0.008000000000000004,1739856581.5373785,3000.0,100.00095369796384,999.013671875,25.0
1739856581.5373657,-0.99,-0.001,-0.006,0.021,1739856581.5373461,1.01,-2.3,1739856581.5358646,0,1739856581.5367482,-0.8000000000000003,-0.008000000000000004,1739856581.5373785,3000.0,100.00095369796384,999.013671875,25.0
1739856582.5359972,-0.99,-0.001,-0.006,0.021,1739856582.5359807,1.01,-2.3,1739856582.535441,0,1739856582.5356178,-0.8000000000000003,-0.008000000000000004,1739856582.5360093,3000.0,100.00095369796384,999.013671875,25.0
1739856583.532277,-0.99,-0.001,-0.006,0.021,1739856583.5322585,1.01,-2.3,1739856583.5317328,0,1739856583.531896,-0.8000000000000003,-0.008000000000000004,1739856583.5323036,3000.0,100.00095369796384,999.013671875,25.0
