Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1740110090.4751053,-0.99,-0.001,-0.006,0.021,1740110090.475025,1.01,-2.3,1740110090.4735243,0,1740110090.4742577,-0.8000000000000003,-0.008000000000000004,1740110090.4751563,3000.0,100.00095369796384,999.013671875,25.0,1740110084.8020196,nan
1740110091.4753113,-0.99,-0.001,-0.006,0.021,1740110091.4752932,1.01,-2.3,1740110091.4749007,0,1740110091.4750721,-0.8000000000000003,-0.008000000000000004,1740110091.4753232,3000.0,100.00095369796384,999.013671875,25.0,1740110084.8020196,nan
1740110092.4868042,-0.99,-0.001,-0.006,0.021,1740110092.486787,1.01,-2.3,1740110092.4864166,0,1740110092.4865832,-0.8000000000000003,-0.008000000000000004,1740110092.486816,3000.0,100.00095369796384,999.013671875,25.0,1740110084.8020196,nan
1740110093.480291,-0.99,-0.001,-0.006,0.021,1740110093.4802725,1.01,-2.3,1740110093.4798965,0,1740110093.4800763,-0.8000000000000003,-0.008000000000000004,1740110093.4803033,3000.0,100.00095369796384,999.013671875,25.0,1740110084.8020196,nan
1740110094.4792118,-0.99,-0.001,-0.006,0.021,1740110094.4791946,1.01,-2.3,1740110094.4784052,0,1740110094.4786458,-0.8000000000000003,-0.008000000000000004,1740110094.4792237,3000.0,100.00095369796384,999.013671875,25.0,1740110084.8020196,nan
1740110095.4794235,-0.99,-0.001,-0.006,0.021,1740110095.4794052,1.01,-2.3,1740110095.4786985,0,1740110095.4788623,-0.8000000000000003,-0.008000000000000004,1740110095.4794354,3000.0,100.00095369796384,999.013671875,25.0,1740110084.8020196,nan
1740110096.4763503,-0.99,-0.001,-0.006,0.021,1740110096.4763305,1.01,-2.3,1740110096.4757795,0,1740110096.475961,-0.8000000000000003,-0.008000000000000004,1740110096.476362,3000.0,100.00095369796384,999.013671875,25.0,1740110084.8020196,nan
1740110097.476884,-0.99,-0.001,-0.006,0.021,1740110097.4768646,1.01,-2.3,1740110097.4761682,0,1740110097.4763012,-0.8000000000000003,-0.008000000000000004,1740110097.4768963,3000.0,100.00095369796384,999.013671875,25.0,1740110084.8020196,nan
1740110098.4749115,-0.99,-0.001,-0.006,0.021,1740110098.474893,1.01,-2.3,1740110098.4745617,0,1740110098.4747527,-0.8000000000000003,-0.008000000000000004,1740110098.4749234,3000.0,100.00095369796384,999.013671875,25.0,1740110084.8020196,nan
1740110099.4748461,-0.99,-0.001,-0.006,0.021,1740110099.4748278,1.01,-2.3,1740110099.4744158,0,1740110099.4745903,-0.8000000000000003,-0.008000000000000004,1740110099.4748576,3000.0,100.00095369796384,999.013671875,25.0,1740110084.8020196,nan
