INFO: 09:37:03 - main_pipeline.sensor:  Successfully connected to port COM8, using real Picarro Gas hardware
INFO: 09:37:04 - main_pipeline.sensor:  Successfully connected to port COM7, using real Picarro Water hardware
INFO: 09:37:04 - main_pipeline.sensor:  Successfully connected to port COM4, using real Abakus hardware
INFO: 09:37:04 - main_pipeline.sensor:  Successfully connected to port COM3 and COM5, using real Flowmeter hardware
INFO: 09:37:04 - main_pipeline.sensor:  Successfully connected to port COM6, using real Dimetix hardware
WARNING: 09:37:04 - main_pipeline.sensor:  Couldn't find Bronkhorst at port COM9, shadowing sensor calls with substitute functions
WARNING: 09:37:04 - main_pipeline.sensor:  Couldn't find Melthead at port COM9, shadowing sensor calls with substitute functions
INFO: 09:37:04 - sensor_interfaces.abakus_interface:  Connected to serial port COM4 with baud 38400
INFO: 09:37:04 - sensor_interfaces.flowmeter_interface:  Connected to serial port COM3 with baud 115200
INFO: 09:37:04 - sensor_interfaces.flowmeter_interface:  Connected to serial port COM5 with baud 115200
INFO: 09:37:04 - sensor_interfaces.laser_interface:  Connected to serial port COM6 with baud 19200
INFO: 09:37:04 - sensor_interfaces.picarro_interface:  Connected to serial port COM8 with baud 19200
INFO: 09:37:04 - sensor_interfaces.picarro_interface:  Connected to serial port COM7 with baud 19200
INFO: 09:37:04 - sensor_interfaces.sim_instruments:  Fake hardware, pretending to use serial port COM9 with baud 38400
INFO: 09:37:04 - main_pipeline.sensor:  Sensor class initiated
INFO: 09:37:04 - main_pipeline.interpreter:  Interpreter class initiated
INFO: 09:37:04 - main_pipeline.writer:  Display class initiated
INFO: 09:37:04 - __main__:  No control inputs for the Picarro Gas
INFO: 09:37:04 - __main__:  No control inputs for the Picarro Water
INFO: 09:37:04 - __main__:  No control inputs for the Laser Distance Sensor
INFO: 09:37:04 - __main__:  No control inputs for the Abakus Particle Counter
INFO: 09:37:04 - __main__:  No control inputs for the Flowmeter
INFO: 09:37:08 - main_pipeline.sensor:  Initializing sensors
INFO: 09:37:08 - sensor_interfaces.abakus_interface:  Initializing Abakus
INFO: 09:37:08 - sensor_interfaces.abakus_interface:  Abakus measurements started
INFO: 09:37:08 - sensor_interfaces.abakus_interface:  Initialization attempt 1/10
